"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"129",1961,"Romania","ROU",45.94,24.97,NA,10,3240,NA,5,NA,NA,NA,0,NA,11,NA,1735
"130",1961,"Russian Federation","RUS",61.52,105.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1961,"Rwanda","RWA",-1.94,29.87,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"132",1961,"Saint Kitts and Nevis","KNA",17.36,-62.78,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1961,"Saint Lucia","LCA",13.91,-60.98,NA,NA,0,NA,13,NA,NA,NA,0,NA,NA,NA,NA
"134",1961,"Saint Vincent and the Grenadines","VCT",12.98,-61.29,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"135",1961,"Samoa","WSM",-13.76,-172.1,NA,NA,0,NA,5,NA,NA,NA,0,NA,NA,NA,NA
"136",1961,"Sao Tome and Principe","STP",0.19,6.61,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"137",1961,"Saudi Arabia","SAU",23.89,45.08,NA,NA,60,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"138",1961,"Senegal","SEN",14.5,-14.45,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"139",1961,"Serbia","SRB",44.02,21.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1961,"Sierra Leone","SLE",8.46,-11.78,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"141",1961,"Slovakia","SVK",48.67,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1961,"Slovenia","SVN",46.15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1961,"Solomon Islands","SLB",-9.65,160.16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1961,"South Africa","ZAF",-30.56,22.94,NA,NA,1210,NA,NA,NA,2,NA,90,NA,NA,NA,22
"145",1961,"Spain","ESP",40.46,-3.75,NA,0,3499,NA,106,NA,2,NA,145,NA,0,NA,453
"146",1961,"Sri Lanka","LKA",7.87,80.77,NA,NA,5,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"147",1961,"Sudan","SDN",12.86,30.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",1961,"Suriname","SUR",3.92,-56.03,NA,NA,2,NA,1,NA,NA,NA,0,NA,NA,NA,NA
"149",1961,"Swaziland","SWZ",-26.52,31.47,NA,NA,12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"150",1961,"Sweden","SWE",60.13,18.64,NA,0,2408,NA,NA,NA,NA,NA,138,NA,NA,NA,0
"151",1961,"Switzerland","CHE",46.82,8.23,NA,1,592,NA,NA,NA,NA,NA,128,NA,0,NA,2
"152",1961,"Tajikistan","TJK",38.86,71.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",1961,"Thailand","THA",15.87,100.99,NA,NA,359,NA,NA,NA,NA,NA,78,NA,NA,NA,0
"154",1961,"The former Yugoslav Republic of Macedonia","THA",41.61,21.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",1961,"Timor-Leste","TLS",-8.87,125.73,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"156",1961,"Togo","TGO",8.62,0.82,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"157",1961,"Trinidad and Tobago","TTO",10.69,-61.22,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"158",1961,"Tunisia","TUN",33.89,9.54,NA,NA,79,NA,4,NA,NA,NA,0,NA,NA,NA,12
"159",1961,"Turkey","TUR",38.96,35.24,NA,NA,4051,NA,NA,NA,NA,NA,1,NA,NA,NA,1144
"160",1961,"Turkmenistan","TKM",38.97,59.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",1961,"Uganda","UGA",1.37,32.29,NA,NA,89,NA,925,NA,NA,NA,0,NA,NA,NA,NA
"162",1961,"Ukraine","UKR",48.38,31.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",1961,"United Arab Emirates","ARE",23.42,53.85,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0
"164",1961,"United Kingdom","GBR",55.38,-3.44,NA,8,10100,NA,NA,NA,NA,NA,1279,NA,0,NA,153
"165",1961,"United Republic of Tanzania","TZA",-6.37,34.89,NA,NA,46,NA,7,NA,NA,NA,0,NA,NA,NA,NA
"166",1961,"United States of America","USA",37.09,-95.71,NA,0,112227,NA,NA,NA,19,NA,1738,NA,NA,NA,101
"167",1961,"Uruguay","URY",-32.52,-55.77,NA,NA,195,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"168",1961,"Uzbekistan","UZB",41.38,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",1961,"Vanuatu","VUT",-15.38,166.96,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",1961,"Venezuela (Bolivarian Republic of)","VEN",6.42,-66.59,NA,NA,63,NA,15,NA,NA,NA,58,NA,NA,NA,NA
"171",1961,"Viet Nam","VNM",14.06,108.28,NA,NA,86,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"172",1961,"Yemen","YEM",15.55,48.52,NA,NA,84,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"173",1961,"Zambia","ZMB",-13.13,27.85,NA,NA,45,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"174",1961,"Zimbabwe","ZWE",-19.02,29.15,NA,NA,51,NA,NA,NA,NA,NA,27,NA,NA,NA,NA
"175",1962,"Afghanistan","AFG",33.94,67.71,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",1962,"Albania","ALB",41.15,20.17,NA,0,41,NA,NA,NA,NA,NA,0,NA,NA,NA,4
"177",1962,"Algeria","DZA",28.03,1.66,NA,NA,36,NA,NA,NA,NA,NA,0,NA,NA,NA,7
"178",1962,"Angola","AGO",-11.2,17.87,NA,NA,13,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"179",1962,"Antigua and Barbuda","ATG",17.06,-61.8,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"180",1962,"Argentina","ARG",-38.42,-63.62,NA,NA,3585,NA,NA,NA,NA,NA,1,NA,NA,NA,0
"181",1962,"Armenia","ARM",40.07,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1962,"Australia","AUS",-25.27,133.78,NA,NA,1270,NA,NA,NA,NA,NA,27,NA,4,NA,NA
"183",1962,"Austria","AUT",47.52,14.55,NA,NA,1541,NA,NA,NA,0,NA,140,NA,5,NA,0
"184",1962,"Azerbaijan","AZE",40.14,47.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",1962,"Bahamas","AZE",25.03,-77.4,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"186",1962,"Bangladesh","BGD",23.68,90.36,NA,NA,181,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"187",1962,"Barbados","BRB",13.19,-59.54,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"188",1962,"Belarus","BLR",53.71,27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",1962,"Belgium","BEL",50.5,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1962,"Belize","BLZ",17.19,-88.5,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"191",1962,"Benin","BEN",9.31,2.32,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
