"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"177",1962,"Algeria","DZA",28.03,1.66,72,6,1543,23,326,0,110,6,23,5,203,2,389
"178",1962,"Angola","AGO",-11.2,17.87,122,41,354,1,255,0,35,1,50,0,58,0,155
"179",1962,"Antigua and Barbuda","ATG",17.06,-61.8,1,0,6,0,6,0,1,0,2,0,24,0,0
"180",1962,"Argentina","ARG",-38.42,-63.62,2089,14,2892,29,1542,NA,2194,6,88,3,785,166,1770
"181",1962,"Armenia","ARM",40.07,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1962,"Australia","AUS",-25.27,133.78,1172,4,1132,19,826,0,1202,2,125,2,582,28,657
"183",1962,"Austria","AUT",47.52,14.55,808,3,934,14,853,0,501,18,52,2,306,1,434
"184",1962,"Azerbaijan","AZE",40.14,47.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",1962,"Bahamas","AZE",25.03,-77.4,4,0,13,0,9,0,7,0,1,0,4,0,17
"186",1962,"Bangladesh","BGD",23.68,90.36,0,45,9379,0,1142,0,178,53,473,164,554,5,800
"187",1962,"Barbados","BRB",13.19,-59.54,5,0,24,0,9,0,9,0,6,0,12,0,3
"188",1962,"Belarus","BLR",53.71,27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",1962,"Belgium","BEL",50.5,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1962,"Belize","BLZ",17.19,-88.5,2,1,11,0,13,0,3,0,1,0,3,0,2
"191",1962,"Benin","BEN",9.31,2.32,21,17,209,0,106,0,20,0,27,0,8,0,44
"192",1962,"Bermuda","BMU",32.32,-64.76,2,0,3,0,6,0,4,0,1,0,2,0,4
"193",1962,"Bolivia (Plurinational State of)","BOL",-16.29,-63.59,25,1,349,3,250,0,93,0,5,0,71,0,207
"194",1962,"Bosnia and Herzegovina","BIH",43.92,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",1962,"Botswana","BWA",-22.33,24.68,36,0,64,0,6,0,17,0,1,0,9,1,9
"196",1962,"Brazil","BRA",-14.24,-51.93,973,1543,7586,373,5735,0,2124,35,453,3,3254,85,1952
"197",1962,"Brunei Darussalam","BRN",4.54,114.73,1,0,9,0,3,0,4,0,2,0,3,0,3
"198",1962,"Bulgaria","BGR",42.73,25.49,394,33,2047,0,730,0,274,19,17,5,166,0,857
"199",1962,"Burkina Faso","BFA",12.24,-1.56,768,0,495,0,28,0,38,12,5,4,11,0,118
"200",1962,"Cabo Verde","CPV",16,-24.01,1,0,22,0,7,0,1,0,1,1,3,0,1
"201",1962,"Cambodia","KHM",12.57,104.99,10,7,979,1,192,0,30,1,31,6,62,0,344
"202",1962,"Cameroon","CMR",7.37,12.35,287,29,582,3,472,0,64,5,62,6,9,0,201
"203",1962,"Canada","CAN",56.13,-106.35,1309,22,1657,77,1789,2,1464,24,291,4,898,18,1537
"204",1962,"Central African Republic","CAF",6.61,20.94,32,0,71,0,76,0,23,0,3,0,5,0,28
"205",1962,"Chad","TCD",15.45,18.73,11,33,550,0,54,0,42,0,6,0,19,1,36
"206",1962,"Chile","CHL",-35.68,-71.54,569,45,1132,4,304,0,241,1,91,0,283,16,883
"207",1962,"China, Hong Kong SAR","CHN",22.4,114.11,31,26,496,0,117,0,145,5,112,3,69,4,192
"208",1962,"China, Macao SAR","CHN",22.2,113.54,2,1,30,0,3,0,6,0,1,0,4,0,10
"209",1962,"China, mainland","CHN",35.86,104.2,905,2433,66145,2,2450,0,2667,173,2942,85,1226,43,49318
"210",1962,"China, Taiwan Province of","CHN",23.7,120.96,117,16,1855,0,285,0,237,4,322,14,157,2,674
"211",1962,"Colombia","COL",4.57,-74.3,677,42,1264,94,1554,0,469,0,50,1,983,0,405
"212",1962,"Congo","COD",-0.23,15.83,21,2,20,0,50,0,13,0,25,0,2,0,17
"213",1962,"Costa Rica","CRI",9.75,-83.75,14,14,136,2,121,0,30,0,3,0,64,0,26
"214",1962,"Côte d'Ivoire","CIV",7.54,-5.55,66,0,228,0,489,0,79,26,51,9,31,0,152
"215",1962,"Croatia","HRV",45.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",1962,"Cuba","CUB",21.52,-77.78,106,30,723,42,284,1,241,0,48,0,373,0,258
"217",1962,"Cyprus","CYP",35.13,33.43,11,1,73,1,66,0,15,3,4,0,13,0,52
"218",1962,"Czechia","CZE",49.82,15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",1962,"Democratic People's Republic of Korea","KOR",40.34,127.51,203,142,1813,0,116,NA,87,3,348,0,14,NA,1053
"220",1962,"Denmark","DNK",56.26,9.5,378,0,456,46,280,0,254,5,82,1,249,2,188
"221",1962,"Djibouti","DJI",11.83,42.59,3,0,11,0,0,0,3,0,0,0,3,0,1
"222",1962,"Dominica","DMA",15.41,-61.37,1,0,5,0,11,0,1,0,2,0,2,0,3
"223",1962,"Dominican Republic","DOM",18.74,-70.16,31,19,167,17,844,0,56,1,30,1,114,0,47
"224",1962,"Ecuador","ECU",-1.83,-78.18,43,19,352,8,1227,0,85,0,32,0,135,0,349
"225",1962,"Egypt","EGY",26.82,30.8,23,2,4843,4,1022,0,309,3,130,23,399,27,3500
"226",1962,"El Salvador","SLV",13.79,-88.9,19,27,294,7,108,0,35,1,5,0,63,0,86
"227",1962,"Estonia","EST",58.6,25.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",1962,"Ethiopia","ETH",9.15,40.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",1962,"Fiji","FJI",-16.58,179.41,3,0,52,0,5,0,5,0,6,0,12,0,4
"230",1962,"Finland","FIN",61.92,25.75,118,0,563,40,201,0,162,1,86,1,187,0,64
"231",1962,"France","FRA",46.23,2.21,8370,86,6092,194,3293,0,3676,165,861,6,1540,2,6994
"232",1962,"French Polynesia","PYF",-17.68,-149.41,3,0,11,0,3,0,2,0,4,0,3,0,4
"233",1962,"Gabon","GAB",-0.8,11.61,22,0,16,0,90,0,24,0,13,0,1,0,22
"234",1962,"Gambia","GMB",13.44,-15.31,15,0,62,0,2,0,4,0,6,0,4,0,5
"235",1962,"Georgia","GEO",42.32,43.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",1962,"Germany","DEU",51.17,10.45,8176,43,7120,264,6634,0,4859,136,725,15,2547,10,3662
"237",1962,"Ghana","GHA",7.95,-1.02,136,0,331,0,633,1,71,5,106,6,67,0,168
"238",1962,"Greece","GRC",39.07,21.82,324,28,1372,9,1089,1,201,58,134,2,128,0,975
"239",1962,"Grenada","GRD",12.26,-61.6,1,0,8,0,12,0,1,0,2,0,4,0,2
"240",1962,"Guatemala","GTM",15.78,-90.23,28,36,563,13,162,0,55,0,2,0,101,0,104
"241",1962,"Guinea","GIN",9.95,-9.7,7,0,315,5,429,0,17,0,4,0,16,0,308
"242",1962,"Guinea-Bissau","GNB",11.8,-15.18,8,0,58,0,28,0,8,1,1,0,1,0,13
"243",1962,"Guyana","GUY",4.86,-58.93,7,0,79,1,33,0,9,0,13,0,24,0,6
"244",1962,"Haiti","HTI",18.97,-72.29,51,32,391,10,451,0,40,NA,4,0,98,0,155
"245",1962,"Honduras","HND",15.2,-86.24,17,24,242,7,199,0,25,0,2,0,53,0,34
"246",1962,"Hungary","HUN",47.16,19.5,716,18,1808,4,592,0,816,13,21,21,309,1,910
"247",1962,"Iceland","ISL",64.96,-19.02,3,0,19,2,8,0,15,0,11,0,11,0,2
